区域,名称,地址,经营单位,受纳种类,回填总量/吨,剩余量/吨,有效期
徐汇,徐汇中城绿谷项目-12529,西至沪闵路南至柳州路北至宾阳路,上海万久绿合置业有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,150000,84350,2015-10-23-2016-06-30
长宁,虹桥路2535号外环西侧-14922,虹桥路2535号外环西侧,上海成芳清洁服务有限公司,工程渣土&nbsp;,140000,140000,2016-05-11-2016-12-30
长宁,仙霞西路绥宁路800号-12409,仙霞西路绥宁路800号,上海新长宁集团有限公司,工程渣土&nbsp;,496800,45400,2015-10-15-2017-10-14
长宁,临空1号地块回填-11416,临华路广顺北路以北,上海新长宁集团,工程渣土&nbsp;,264600,39600,2015-04-27-2017-10-16
长宁,临空11-3.9号回填-11741,通协路、福泉北路,上海新长宁集团有限公司,工程渣土&nbsp;,23400,14400,2015-08-26-2017-10-30
长宁,姚连生中学玉屏南路399号-14672,玉屏南路399号,上海凤环实业有限公司,工程渣土&nbsp;,7000,972,2016-04-08-2016-06-28
普陀,绿化基础回填-石泉东路以东、中山北路以北、交通路以南-14920,石泉东路以东、中山北路以北、交通路以南,上海禹程建设发展有限公司,工程渣土&nbsp;,100000,100000,2016-05-10-2016-12-31
普陀,沪嘉高速北侧绿化回填工程-9078,沪嘉高速北侧（祁连山路-祁顺路）,,工程渣土&nbsp;,700000,80000,2014-03-26-2016-12-31
普陀,绿化基础回填-武宁路225号-14612,武宁路225号,上海普陀市政建设养护有限公司,工程渣土&nbsp;,40000,40000,2016-03-15-2016-10-30
普陀,礼泉路真华路绿化回填-13410,礼泉路真华路口,上海禹程建设发展有限公司,工程渣土&nbsp;,200000,35600,2015-12-21-2016-12-31
普陀,绿化基础回填祁春路以南，沪嘉高速公路以北-14391,祁春路以南，沪嘉高速公路以北,上海普陀区园林建设综合开发有限公司,工程渣土&nbsp;,50000,30000,2016-03-10-2016-12-30
普陀,绿化回填-交通路明翔学校东侧-14834,交通路明翔学校东侧,上海普陀区园林建设和综合开发有限公司,工程渣土&nbsp;,6000,6000,2016-04-25-2016-12-30
闸北,绿洲雅宾利三期绿化回土工程-11909,止园路宝昌路,龙信建设集团有限公司,工程渣土&nbsp;,100000,88000,2015-09-17-2016-12-31
虹口,江湾镇384街坊A03B-11地块综合开发项目-13029,虹湾路，凉城路,上海绿地建设集团有限公司,工程渣土&nbsp;,60000,50000,2015-11-23-2016-12-30
虹口,北外滩白玉兰广场绿花回填-14731,东大名路，旅顺路,上海金港北外滩置业有限公司,工程渣土&nbsp;,40000,34000,2016-04-13-2016-10-31
杨浦,杨浦区106街坊-14631,锦州湾路近临青路,上海市杨浦区公共租赁住房运营管理有限公司,工程渣土&nbsp;,9000,8000,2016-04-01-2016-12-31
闵行,外环生态工程林带（沿线）回填区域-13649,东至兴梅路、南至金都路双柏路、西至梅强路北至锦梅路,上海宏君环卫渣土工程有限公司,工程渣土&nbsp;,1000000,756000,2015-12-25-2016-08-24
闵行,梅陇镇外环生态填土项目工程-13769,东至虹梅南路、南至春申路以北、西至莘庄立交、北至S20南侧,上海品矗实业发展有限公司,工程渣土&nbsp;,500000,500000,2015-12-26-2016-08-25
闵行,虹桥商务区核心区南片区04号地块项目-13589,东至申长路、南至申兰路、西至新角浦河北至规划2号河,上海聚联建设发展有限公司,工程渣土&nbsp;,250000,230000,2015-12-01-2016-11-30
闵行,浦江镇郊野公园一期Ι片区土地整治施工项目-14371,东至浦星公路、南至联跃路、西至鲁陈路、北至申嘉湖高速南侧,上海港城建筑安装工程有限公司,工程渣土&nbsp;,200000,200000,2016-03-08-2016-12-30
闵行,马桥镇07A-01地块场地平整-14691,东至沙溪河、南至茜昆路、西至曙光路、北至宋长浜,上海元景投资管理有限公司,工程渣土&nbsp;,160000,160000,2016-04-01-2016-08-31
闵行,嘉闵高架桥下顾戴路至闵松路段市政绿化工程-11553,嘉闵高架桥下顾戴路至闵松路（绿化2标）,上海鑫艺程清运有限公司,工程渣土&nbsp;,140000,140000,2015-06-01-2016-05-30
闵行,梅陇镇永联村外环绿化捆绑用地-14009,东至长华路、南至春申塘、西至曹联路、北至华济路,上海宏君环卫渣土工程有限公司,工程渣土&nbsp;,60000,60000,2016-01-12-2016-10-11
闵行,上海森马服装研发生产基地-14935,东至莲花南路、南至鑫都河、西至镇界线、北至用地红线,上海森马服饰有限公司,工程渣土&nbsp;,36000,36000,2016-05-15-2016-06-15
闵行,虹桥商务区核心区南北片区公共绿地工程-13489,申滨路（东至申滨路南至南红港西至北横泾北至兴虹路）,上海国安园林景观建设有限公司,工程渣土&nbsp;,20000,20000,2015-12-15-2017-05-30
闵行,大族新能源设备有限公司-10895,联航路、万芳路,上海瑞羿市政工程有限公司,工程渣土&nbsp;,84000,12000,2014-12-16-2016-05-31
宝山,星星村低洼地块场地平整-10792,湄星路1606号,上海立及废弃物处置服务有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,500000,500000,2014-11-18-2016-08-31
宝山,园区内规划范围内高椿树村(开利二期项目)地块回填土平整-12649,东至罗东路,北至潘川路,南至海欢路,上海安懋市政工程有限公司,工程渣土&nbsp;,200000,136400,2015-10-30-2016-07-31
宝山,经纬城市绿洲E地块回填绿化土及场地平整-14233,沪太路,塘祁路口,经纬置地有限公司,工程渣土&nbsp;,100000,50000,2016-02-24-2016-05-31
宝山,宝山零出土-10532,宝山零出土,宝山零出土,建筑垃圾&nbsp;工程渣土&nbsp;,10000,10000,2014-09-22-2016-12-31
浦东,洋泾港码头-14896,歇浦路241号,上海安远基础工程土方运输有限公司,工程渣土&nbsp;,1080000,1050000,2015-07-01-2016-06-30
浦东,老港滨海郊野公园造林工程一号地块-14433,浦东新区老港镇两港大道东侧、随塘河西侧范围,上海南汇生态建设发展有限公司,工程渣土&nbsp;,900000,797000,2016-03-14-2016-12-30
浦东,张江三号动迁基地三期B6-5地块-14695,张江三号动迁基地三期B6-5地块,,工程渣土&nbsp;,70000,68000,2015-12-01-2016-12-31
浦东,森兰绿地-11620,南至五洲大道东至张杨北路西至杨高北路北至航津,上海怡顺环卫清洁服务有限公司,工程渣土&nbsp;,100000,40000,2015-07-10-2016-07-10
浦东,利民灰场延期-14089,曹路镇海塘二路,上海绿建环卫清洁服务有限公司,工程渣土&nbsp;,60000,24000,2015-05-01-2016-12-30
浦东,欧高路三海渣土码头-14811,中高路385号,上海绪环实业发展有限公司,工程渣土&nbsp;,100000,2000,2016-03-22-2017-06-30
松江,基础回填（晶苑四季御庭二期3标段项目）-11124,新桥镇明华路888号,好收成（上海）房地产发展有限公司,工程渣土&nbsp;,420000,375000,2015-01-30-2016-05-30
