,0,1,2,3,4,5,6,7
0,区域,项目名称,建设地点,工程类别,有效期,卸点信息,排放量,车辆
1,宝山,宝山区第二批廉租实物配租住房装修项目第一期工程,联牧路1弄44支弄,一般工程-商办楼宇,2016-04-15-2016-09-30,宝山零出土|宝山零出土,0,1
2,宝山,罗店新镇E4-2地块幼儿园,抚远路、罗迎路口,一般工程-商办楼宇,2016-04-13-2016-09-30,宝山零出土|宝山零出土,0,1
3,宝山,新建家用车用全球卫星通讯防盗报警系统项目,沪太公路罗店镇05街坊68/6丘,一般工程-商办楼宇,2015-12-11-2016-06-30,宝山零出土|宝山零出土,0,1
4,宝山,新建上海怡景养老院,东至罗泾镇社区卫生服务中心，南至潘沪路，西至小川沙河，北至罗泾中学,一般工程-商办楼宇,2015-12-03-2016-06-30,宝山零出土|宝山零出土,0,1
5,宝山,生产厂房及附属设施配套用房,西至大川沙河、南至金石路、北至南毛家塘,一般工程-商办楼宇,2015-11-13-2016-06-30,宝山零出土|宝山零出土,0,1
6,宝山,建造厂房,宝安公路326号,一般工程-商办楼宇,2016-01-05-2016-06-30,宝山零出土|宝山零出土,0,1
7,宝山,年产9万台（套）家用机器人研发生产基地,山连路、园康路口,一般工程-商办楼宇,2016-03-08-2016-06-30,宝山零出土|宝山零出土,0,1
8,宝山,低温位余热回收装置研发设计中心项目（研发中心综合楼、辅助楼一及围墙）,园庆路198号,一般工程-商办楼宇,2016-03-11-2016-06-30,宝山零出土|宝山零出土,0,1
9,宝山,规划四路(规划六路-盘古路)新建住宅市政配套道路工程,规划四路(规划六路-盘古路),一般工程-商办楼宇,2016-04-11-2016-06-30,宝山零出土|宝山零出土,0,1
10,宝山,南大综合整治区鄂尔多斯路(连文路-南何支路)道路新建工程,鄂尔多斯路(连文路-南何支路),一般工程-商办楼宇,2016-04-11-2016-06-30,宝山零出土|宝山零出土,0,1
11,宝山,宝山体育中心综合篮球馆三层装修工程,永清路700号,一般工程-商办楼宇,2016-05-12-2016-06-30,宝山零出土|宝山零出土,0,1
12,宝山,规划六路(友谊路-规划四路)新建住宅市政配套工程,规划六路(友谊路-规划四路),一般工程-商办楼宇,2016-04-29-2016-06-30,宝山零出土|宝山零出土,0,1
13,宝山,规划二路(月晖路-规划四路)新建住宅市政配套工程,规划二路(月晖路-规划四路),一般工程-商办楼宇,2016-04-25-2016-06-30,宝山零出土|宝山零出土,0,1
14,宝山,海德花园四期商品住宅项目,海笛路199弄,一般工程-商办楼宇,2016-04-22-2016-05-31,宝山零出土|宝山零出土,0,1
15,宝山,罗春路潘泾路路口整治工程,罗春路、潘泾路口,一般工程-商办楼宇,2016-04-06-2016-05-31,宝山零出土|宝山零出土,0,1
16,宝山,超导电缆系统中试及产业化研究项目,山连路558号,一般工程-商办楼宇,2016-04-18-2016-05-31,宝山零出土|宝山零出土,0,1
17,宝山,储运成品物流部2、4、6号库外墙修理工程,吉浦路537号,一般工程-商办楼宇,2016-04-07-2016-05-31,宝山零出土|宝山零出土,0,1
18,宝山,盘古路新建道路工程（二标）,盘古路（月城路-月明路）,一般工程-商办楼宇,2015-12-28-2016-04-30,宝山零出土|宝山零出土,0,1
19,宝山,锦秋路(宝山区界-园庆路)新建住宅市政配套工程,锦秋路(金地艺境小区入口KO+340-园庆路),一般工程-商办楼宇,2015-11-03-2016-04-30,宝山零出土|宝山零出土,0,1
20,宝山,消防设备研发产业化基地项目,月丰路西侧,一般工程-商办楼宇,2015-11-16-2016-04-30,宝山零出土|宝山零出土,0,1
21,宝山,临床医疗影像诊断设备精密传动组件项目,罗宁路近俞家潮溏,一般工程-商办楼宇,2015-12-29-2016-04-30,宝山零出土|宝山零出土,0,1
22,宝山,新建顾村社区事务受理服务中心（一期派出所项目）,富联路东侧，顾北东路南侧，黄狼泾北侧,一般工程-商办楼宇,2016-03-22-2016-04-30,宝山零出土|宝山零出土,0,1
23,宝山,工业路（丰翔路-山连路）道路新建工程,工业路（丰翔路-山连路）,一般工程-商办楼宇,2015-12-18-2016-04-12,宝山零出土|宝山零出土,0,1
24,宝山,月浦地区宝钢三期动迁房小区直排生活污水纳管工程,庆安路、四元路、安家路、德都路段,一般工程-商办楼宇,2015-12-01-2016-03-31,宝山零出土|宝山零出土,0,1
25,宝山,保集智谷创新产业项目(一期),富联二路99号,一般工程-商办楼宇,2015-12-22-2016-03-31,宝山零出土|宝山零出土,0,1
26,宝山,宝山区淞南社区N12-0402单元D1-13地块商业项目,长江南路淞发路口,一般工程-商办楼宇,2015-12-22-2016-03-31,宝山零出土|宝山零出土,0,1
27,宝山,宝山区顾村配套商品房基地C2-5地块公交枢纽,顾村镇沪联路,一般工程-商办楼宇,2015-12-03-2016-03-31,宝山零出土|宝山零出土,0,1
28,宝山,宝山杨行镇YH-B-1单元20-1、21-01地块项目,友谊路、月明路,一般工程-商办楼宇,2016-03-17-2016-03-31,宝山零出土|宝山零出土,0,1
29,宝山,二期扩建,潘泾路3759号,一般工程-商办楼宇,2015-10-27-2016-02-29,宝山零出土|宝山零出土,0,1
30,宝山,罗店镇兵营式危房改造配套项目罗东路(罗北路-罗盛路)污水管网改造工程,罗东路(罗北路-罗盛路),一般工程-商办楼宇,2015-12-25-2016-02-29,宝山零出土|宝山零出土,0,1
31,宝山,上海梅园实业公司扩建通用厂房工程,蕰川路3915号,一般工程-商办楼宇,2015-11-03-2016-01-31,宝山零出土|宝山零出土,0,1
32,宝山,扩建生产用房项目投资及建筑规模调整,湄星路1818号,一般工程-商办楼宇,2015-07-13-2015-12-31,宝山零出土|宝山零出土,0,1
33,宝山,西干线改造工程老管处置工程(二)WT1.7标,蕴藻浜泵站至石洞口污水处理厂,一般工程-商办楼宇,2014-12-12-2015-12-31,宝山零出土|宝山零出土,0,1
34,宝山,新建宝山工业园区社区便民服务中心项目,潘泾路，金石路口,一般工程-商办楼宇,2015-06-30-2015-12-31,宝山零出土|宝山零出土,0,1
35,宝山,新建宝山工业园区金石幼儿园项目,金石路，枫叶路口,一般工程-商办楼宇,2015-06-30-2015-12-31,宝山零出土|宝山零出土,0,1
36,宝山,顾村菊泉文化展示馆工程,东至沪太路，南至宝安公路，西至菊泉路，北至周家浜,一般工程-商办楼宇,2015-07-17-2015-12-31,宝山零出土|宝山零出土,0,1
37,宝山,菊太路道路工程（三标）,菊太路宝太路口,一般工程-商办楼宇,2015-10-21-2015-12-31,宝山零出土|宝山零出土,0,1
38,宝山,新建大场公园二期项目A块工程,塘祁路,一般工程-商办楼宇,2015-09-07-2015-12-31,宝山零出土|宝山零出土,0,1
39,宝山,新建中国邮政集团公司上海市宝山区分公司罗南营业所项目,杨南路2065号,一般工程-商办楼宇,2015-10-23-2015-12-31,宝山零出土|宝山零出土,0,1
40,宝山,宝山区张庙街道长江路社区卫生服务中心大修工程,场北路康文路,一般工程-商办楼宇,2015-11-27-2015-12-31,宝山零出土|宝山零出土,0,1
41,宝山,呼兰西路（东茭泾～共和新路）道路大修工程,呼兰西路（东茭泾～共和新路）,一般工程-商办楼宇,2015-11-27-2015-12-31,宝山零出土|宝山零出土,0,1
42,宝山,陈功路西延伸段（沪太路～罗宁路）道路新建工程,陈功路（沪太路～罗宁路）,一般工程-商办楼宇,2015-09-08-2015-12-31,宝山零出土|宝山零出土,0,1
43,宝山,罗店镇兵营式危房改造申家楼39户住宅小区配套工程,天平村罗东路罗盛路口,一般工程-商办楼宇,2015-09-09-2015-12-31,宝山零出土|宝山零出土,0,1
44,宝山,建行上海长逸路支行原址装修工程,长逸路373甲号,一般工程-商办楼宇,2015-11-18-2015-12-30,宝山零出土|宝山零出土,0,1
45,宝山,铁城路（铁谊路-江杨北路）道路整治工程,铁城路（铁谊路-江杨北路）,一般工程-商办楼宇,2015-07-28-2015-12-10,宝山零出土|宝山零出土,0,1
46,宝山,新建厂房及辅助用房,蕰川路5896号,一般工程-商办楼宇,2015-09-15-2015-11-30,宝山零出土|宝山零出土,0,1
47,宝山,高性能集成硅光子器件研发中心及产业化项目,市一路南，潘泾路西,一般工程-商办楼宇,2015-09-21-2015-11-30,宝山零出土|宝山零出土,0,1
48,宝山,智能装备及工业机器人应用项目,罗东路1555号,一般工程-商办楼宇,2015-09-01-2015-11-30,宝山零出土|宝山零出土,0,1
49,宝山,新建西城区紫辰苑社区服务中心,湄浦路南侧,一般工程-商办楼宇,2015-08-25-2015-11-30,宝山零出土|宝山零出土,0,1
50,宝山,新建西城区紫辰苑幼儿园,湄浦路南侧,一般工程-商办楼宇,2015-08-25-2015-11-30,宝山零出土|宝山零出土,0,1
51,宝山,宝山区看守所监区大修（四期）工程,月罗公路2101号,一般工程-商办楼宇,2015-09-14-2015-10-31,宝山零出土|宝山零出土,0,1
52,宝山,上海菱大金属材料有限公司迁建工程,潘泾路，近月罗公路处,一般工程-商办楼宇,2015-08-27-2015-10-31,宝山零出土|宝山零出土,0,1
53,宝山,胡家桥路-鹤岗路污水排管,胡家桥路-鹤岗路,一般工程-商办楼宇,2015-08-20-2015-10-31,宝山零出土|宝山零出土,0,1
54,宝山,大华天缘华城A、B、C一期～四期项目（B2地块）,市物资学校以北，祁连山路以西,一般工程-商办楼宇,2015-07-24-2015-10-31,宝山零出土|宝山零出土,0,1
