区域,名称,地址,经营单位,受纳种类,回填总量/吨,剩余量/吨,有效期
黄浦,黄浦环卫码头（干）,外马路1016号,上海建南土方工程运输有限公司,4200000,1897600,2013-01-24-2016-10-11
徐汇,徐汇滨江原水泥厂码头（干）,龙腾大道东侧（近龙耀路口）,上海地晟物业管理有限公司,16000000,15385670,2016-02-06-2016-12-31
徐汇,宏安干方码头（干）,龙吴路2010号淀浦河3号码头,上海宏安建设工程有限公司,15000000,8921806,2006-12-30-2016-06-30
虹口,汇山码头（干）,杨树浦路8号,上海市虹口区市容建设公司,11500000,4783447,2012-11-13-2016-06-30
杨浦,杨浦区环卫码头（干）,军工路2号,杨浦区环境发展有限公司第四分公司,2400000,1824676,2014-09-01-2016-12-19
闵行,品矗公司三鲁路码头（干）,浦江镇三鲁公路2121号,上海品矗实业发展有限公司,4700000,2923976,2014-02-28-2016-06-14
闵行,白水泥厂渣土中转码头（干）,龙吴路4377号,上海乾坤环卫清洁有限公司,4760000,3364180,2013-03-29-2016-06-30
闵行,闵行房屋建材码头（干）,临沧路186号,上海闵行房屋建设材料有限公司,5600000,1893200,2013-08-29-2016-06-30
闵行,闸港物资中转码头（干）,浦江镇永丰村九队,上海闸港物资中转有限公司,5000000,2787852,2013-09-27-2016-06-09
闵行,旨达联友路码头（泥、干）,纪王镇赵家村南场68号,上海旨达船务中心,20000000,7126888,2010-07-02-2016-06-30
宝山,上港集团宝山码头（干）,牡丹江路1875号,中建港务建设有限公司,9000000,8888000,2015-09-21-2016-06-30
宝山,立及泰和路码头（干）,泰和路1810号,上海立及废弃物处置有限公司,23000000,17057422,2013-04-18-2016-09-16
宝山,隧道股份公司中转码头（干）,锦秋路2039号,上海隧道工程股份有限公司,10000000,9565000,2014-07-02-2016-09-06
宝山,联谊路渣土转运码头（干）,联谊路31号,上海申江储运部,2400000,1140791,2014-11-17-2016-05-30
浦东,世博园白莲泾码头（干、泥）,世博大道白莲泾桥边（白莲泾公园内）,中国第四冶金建设有限责任公司,17000000,16940000,2013-03-15-2016-08-31
浦东,洋泾港渣土中转码头（干）,歇浦路241号洋泾港码头,上海安远基础工程土方运输有限公司,2800000,1087280,2014-07-28-2016-06-09
嘉定,上海正乾渣土中转码头（干）,安亭镇顾家谢泾二路128号,上海正乾环卫服务有限公司,2000000,1585800,2015-06-23-2016-06-30
嘉定,上海坷基渣土中转码头（干）,亚钢路277号,上海坷基基础工程有限公司,4000000,3919000,2016-02-01-2016-12-31
嘉定,上海永鼎渣土中转码头（干）,嘉松北路8223号,上海永鼎土方工程有限公司,4000000,3663500,2016-04-29-2017-01-31
嘉定,蒙畅建筑公司码头（泥、干）,嘉绣路650号,上海蒙畅建筑安装有限公司,10000000,3567557.94,2014-05-28-2016-12-31
青浦,存卓实业渣土码头（干）,新团路汇滨路渣土处置场北,上海存卓实业有限公司,300000,292000,2015-09-23-2016-07-05
