名称,类别,处罚类别,处罚时间,违规行为,来源
上海诚征土石方工程有限公司(徐汇),运输公司,诫勉谈话,2016/5/22,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/5/16,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/5/16,严重超载、未密闭,社会监督
上海虹宝环卫处置运输有限公司,运输公司,诫勉谈话,2016/5/15,严重超载、未密闭,社会监督
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2016/5/15,严重超载、未密闭,社会监督
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2016/5/14,严重超载、未密闭,社会监督
上海山华环卫保洁科技有限公司(长宁),运输公司,诫勉谈话,2016/5/14,严重超载、未密闭,社会监督
上海雅米鼎路基材料有限公司(金山),运输公司,诫勉谈话,2016/5/14,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海杜韵基础工程有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海磊津清洁服务有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海国越建设工程有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海品矗实业发展有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海磊津清洁服务有限公司,运输公司,诫勉谈话,2016/5/13,严重超载、未密闭,社会监督
上海勤顺建设工程有限公司,运输公司,诫勉谈话,2016/5/12,严重超载、未密闭,交警
上海春兵建设工程有限公司,运输公司,诫勉谈话,2016/5/12,严重超载、未密闭,交警
上海世滨土石方工程有限公司(普陀),运输公司,诫勉谈话,2016/5/12,严重超载、未密闭,社会监督
上海进运实业有限公司,运输公司,诫勉谈话,2016/5/12,严重超载、未密闭,社会监督
