airlineCode	flightCourse	seatClass	price	flightType	goStartDate	goExpirationDate	goDepartureAirport	goArrivalAirport	goFlightNoInclude	goFlightNoExclude	goFlightCycle	priceLevel	smallestAdvancingDay	biggestAdvancingDay	earliestIssueTicketDate	latestIssueTicketDate	modifyTime	param1	Createdate
MU	HAK-HGH	Z	480	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ35WLDL	34	58	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	480	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ28WLDL	27	33	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	510	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ21WLDH	20	26	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	510	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ21WHDH	20	26	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	530	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ35WHDL	34	58	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	530	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ28WHDL	27	33	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	570	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ3MWLDL	89	365	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	580	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ35WLDH	34	58	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	580	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ28WLDH	27	33	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	580	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ28WHDH	27	33	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	580	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ35WHDH	34	58	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	620	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ3MWHDL	89	365	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	680	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ3MWHDH	89	365	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	680	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ3MWLDH	89	365	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	850	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ2MWLDL	59	88	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	930	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ2MWHDL	59	88	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-HGH	Z	1020	0	2016/5/19	2020/12/31	HAK	HGH			"1,2,6"	YZ2MWLDH	59	88	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-HGH	Z	1020	0	2016/5/19	2020/12/31	HAK	HGH			"3,4,5,7"	YZ2MWHDH	59	88	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	480	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ28WLDL	27	33	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	490	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ21WLDL	20	26	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	510	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ14WLDL	13	19	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	520	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ28WHDL	27	33	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	530	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ35WLDL	34	58	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	540	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ21WHDL	20	26	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	560	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ07WLDL	6	12	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	560	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ14WHDL	13	19	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	570	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ28WLDH	27	33	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	570	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ28WHDH	27	33	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	580	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ35WHDL	34	58	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	590	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ21WLDH	20	26	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	590	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ21WHDH	20	26	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	610	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ14WLDH	13	19	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	610	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ14WHDH	13	19	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	620	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ07WHDL	6	12	2016/5/19	2016/5/19	42:30.9	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	630	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ35WLDH	34	58	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	630	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ35WHDH	34	58	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
