status	printstatus	flightPort	airlinecardno	segmentcount	segments	fare	airportfee	oilfee	flightdate	ticketnote	ticketDate	office	pnr	system	updateDate
USED/FLOWN		PVG/TAO   	HO	1	HO1115/PVG/TAO//Y/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/5/27			bipiao	50:54.7
USED/FLOWN		PVG/CJU   	HO	1	HO1377/PVG/CJU//K/2016-05-04///USED/FLOWN	0	50	0	2016/5/4		2016/4/30			bipiao	05:56.6
USED/FLOWN		CJU/PVG   	HO	1	HO1378/CJU/PVG//K/2016-05-08///USED/FLOWN	0	50	0	2016/5/8		2016/5/4			bipiao	03:07.1
USED/FLOWN		CJU/PVG   	HO	1	HO1378/CJU/PVG//K/2016-05-08///USED/FLOWN	0	50	0	2016/5/8		2016/5/4			bipiao	03:07.1
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//K/2016-05-13///USED/FLOWN	0	50	0	2016/5/13		2016/5/11			bipiao	05:58.5
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//Q/2016-05-13///USED/FLOWN	0	50	0	2016/5/13		2016/5/12			bipiao	05:57.7
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//Q/2016-05-13///USED/FLOWN	0	50	0	2016/5/13		2016/5/12			bipiao	05:57.7
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-05-19///USED/FLOWN	0	50	0	2016/5/19		2016/5/12			bipiao	06:35.2
USED/FLOWN		KIX/PVG   	HO	1	HO1338/KIX/PVG//Q/2016-06-06///USED/FLOWN	0	50	0	2016/6/6		2016/5/13			bipiao	48:11.3
USED/FLOWN		PVG/CJU   	HO	1	HO1377/PVG/CJU//R/2016-05-19///USED/FLOWN	0	50	0	2016/5/19		2016/5/14			bipiao	06:36.6
USED/FLOWN		PVG/CJU   	HO	1	HO1377/PVG/CJU//R/2016-05-19///USED/FLOWN	0	50	0	2016/5/19		2016/5/14			bipiao	06:36.6
