,0,1,2,3,4,5,6,7,8,9,10,11
0,任务号,大类,小类,描述,城建坐标（X）,城建坐标（Y）,发现时间,立案时间,派遣时间,结案时间,案件来源,地址
1,1511J9134723,街面秩序,占道无证照经营,该处现有乱设摊现象(1个烧烤摊)，影响周边居民，请处理并回复。（要求立即到现场处理）,1172.84,-6889.57,2015-11-13 22:38,2015-11-13 22:48,2015-11-13 22:48,2015-11-18 15:43,12319上报,西营路33弄6支弄弄口
2,1508H7495921,环卫市容,跨门营业,【无需回复】反映该处有店铺跨门经营（水果）请核实处理并回复。,35140.17496,-29499.85379,2015-8-5 13:06,2015-8-5 13:17,2015-8-5 13:17,2015-8-6 10:08,12319上报,三三公路万祥路
3,1508H7433981,街面秩序,占道无证照经营,反映该处每天06:00开始有设摊（几十个摊位，水果，蔬菜）请核实处理并回复。联系电话：18221288110（若无法确定具体位置，可与反映人直接联系）,17106.3299,-5342.970119,2015-8-1 8:42,2015-8-1 8:50,2015-8-1 8:50,2015-8-5 12:40,12319上报,三灶镇下盐公路近文化中心（旁边的无名小路）
4,1507G6912932,环卫市容,跨门营业,反映该处现在有两三个店铺跨门营业（店名：由由徽菜、369家常菜等），占用人行道，影响市容和通行，请核实处理。（信息保密，无需回复）,5427.291073,-4464.838022,2015-7-1 0:11,2015-7-1 0:19,2015-7-1 0:19,2015-7-6 11:47,12319上报,严丰路严民路
5,1507G6928223,环卫市容,跨门营业,反映上述地址水果店跨门营业，影响通行，请尽快核实处理。,11244.53444,3468.123362,2015-7-1 16:00,2015-7-1 16:13,2015-7-1 16:13,2015-7-2 9:36,12319上报,台儿庄路博兴路
6,1507G6921504,环卫市容,跨门营业,此单为网上投诉，该处每晚有跨门经营现象（夜排档），严重扰民，请核实处理。,11241.67412,11360.09127,2015-7-1 11:29,2015-7-1 11:35,2015-7-1 11:35,2015-7-3 14:25,12319上报,秋霞路老北京涮羊肉
7,1507G6923068,街面秩序,占道无证照经营,（信息保密无需回复）反映该处有卡车乱设摊卖西瓜，影响市容，请尽快处理。信息保密无需回复,8268.016836,-585.4701461,2015-7-1 13:29,2015-7-1 13:30,2015-7-1 13:30,2015-7-2 8:27,12319上报,丁香路芳甸路
8,1507G6914183,街面秩序,占道无证照经营,（信息保密，不需回复）反映该处每天06:00~09:00有3~4乱设摊（卖早点），影响市容及居民出行，请速核实处理。,0,0,2015-7-1 8:29,2015-7-1 8:39,2015-7-1 11:42,2015-7-4 10:19,12319上报,新前路靠近高科中路(往北500米左右)
9,1507H7021408,街面秩序,占道无证照经营,反映该处每天05:00---12:00左右有1个乱设摊贩卖活禽现象，影响市容及居民出行，请处理并回复。,5191.349153,537.6546229,2015-7-7 10:56,2015-7-7 11:01,2015-7-7 11:01,2015-7-8 7:16,12319上报,福山路138弄7号(门口)
10,1507H7058902,环卫市容,跨门营业,反映该处每天晚上19:00左右就有大量店铺跨门营业，影响居民生活，请核实处理并回复。,4987.651521,-921.0629464,2015-7-9 10:07,2015-7-9 10:30,2015-7-9 10:30,2015-7-14 10:28,12319上报,潍坊路崂山路
11,1507H7040466,街面秩序,占道无证照经营,【无需回复】反映该处现有2个摊位在此设摊卖水果和小物品，影响周边居民生活及出行，请速核实处理。,6345.355617,-8055.284283,2015-7-8 10:37,2015-7-8 10:39,2015-7-8 10:39,2015-7-10 10:33,12319上报,大道站路94弄靠近东书房路
12,1507H7048417,街面秩序,占道无证照经营,【无需回复】反映该处每天15:00至19:00有大量乱设摊现象，对此不满，请核实处理。,0,0,2015-7-8 16:49,2015-7-8 16:51,2015-7-8 16:51,2015-7-10 10:30,12319上报,古棕路（沪城环路至环湖西三路路段）
13,1507G6945270,街面秩序,占道无证照经营,（信息保密、不需回复）。反映该处现有一处乱设摊卖水果现象，影响市容及居民出行，请速核实处理（信息保密、不需回复）。,8572.78042,2831.861985,2015-7-2 10:34,2015-7-2 10:50,2015-7-2 10:50,2015-7-6 16:58,12319上报,居家桥路浦东大道
14,1507G6982143,街面秩序,占道无证照经营,【无需回复】反映该处道路有大量乱设摊，影响市容通行，请尽快核实处理。,0,0,2015-7-4 16:55,2015-7-4 16:58,2015-7-4 16:58,2015-7-6 9:58,12319上报,坦直支路菜场门口靠近申江路
