,日期,IMEI,00:00-01:00经度,00:00-01:00纬度,01:00-02:00经度,01:00-02:00纬度,02:00-03:00经度,02:00-03:00纬度,03:00-04:00经度,03:00-04:00纬度,04:00-05:00经度,04:00-05:00纬度,05:00-06:00经度,05:00-06:00纬度,06:00-07:00经度,06:00-07:00纬度,07:00-08:00经度,07:00-08:00纬度,08:00-09:00经度,08:00-09:00纬度,09:00-10:00经度,09:00-10:00纬度,10:00-11:00经度,10:00-11:00纬度,11:00-12:00经度,11:00-12:00纬度,12:00-13:00经度,12:00-13:00纬度,13:00-14:00经度,13:00-14:00纬度,14:00-15:00经度,14:00-15:00纬度,15:00-16:00经度,15:00-16:00纬度,16:00-17:00经度,16:00-17:00纬度,17:00-18:00经度,17:00-18:00纬度,18:00-19:00经度,18:00-19:00纬度,19:00-20:00经度,19:00-20:00纬度,20:00-21:00经度,20:00-21:00纬度,21:00-22:00经度,21:00-22:00纬度,22:00-23:00经度,22:00-23:00纬度,23:00-00:00经度,23:00-00:00纬度
0,20160301,e845c0df01f6b30e19b0fa6932307132,121.48312,31.33478001,121.48882,31.33373001,121.48312,31.33478001,121.48312,31.33478001,121.48312,31.33478001,121.48399,31.34333001,121.48399,31.34333001,121.48399,31.34333001,121.48399,31.34333001,,,,,,,,,,,,,,,121.479,31.34757001,121.48399,31.34333001,121.48399,31.34333001,121.48399,31.34333001,121.48399,31.34333001,121.48399,31.34333001,121.48399,31.34333001,,
1,20160301,8b9741ca26d5b4bd72feacbe3190a5f8,,,,,,,,,,,121.35036,31.15049,121.35036,31.15049,,,121.442,31.30129001,121.46215,31.25113001,,,,,121.50526,31.25189001,121.47827,31.24286001,121.44182,31.21306001,,,121.51779,31.24404001,121.49538,31.25269001,121.4686,31.24137001,121.50526,31.25189001,,,121.46326,31.24593001,,,121.27481,31.25434001
2,20160301,4c0107bee71bf466403ec8a0792727bd,,,,,,,,,,,,,,,,,,,,,,,121.49978,31.26759001,121.49751,31.26449001,121.49751,31.26449001,121.49751,31.26449001,,,121.50381,31.27336001,121.5008,31.26198001,,,,,,,,,,,,
3,20160301,916bf274bc1724717a616a9d95093fac,,,,,,,,,,,,,,,121.56747,31.26380001,,,121.56747,31.26380001,121.56747,31.26380001,121.56747,31.26380001,121.56747,31.26380001,121.56747,31.26380001,121.56747,31.26380001,121.56747,31.26380001,,,121.56747,31.26380001,,,,,,,,,,,,
4,20160301,1809aa6e3cec3b07333b90ace525ded7,,,,,,,,,,,,,,,,,,,121.56496,31.23320001,121.56496,31.23320001,121.56496,31.23320001,121.56496,31.23320001,121.56496,31.23320001,121.56496,31.23320001,,,,,,,,,,,,,,,,,,
5,20160301,57f513f8b2dd189cfe0d75423b66fc6f,121.511,31.23139001,121.511,31.23139001,121.511,31.23139001,121.511,31.23139001,121.511,31.23139001,121.5075,31.23167001,121.5075,31.23167001,121.511669,31.21916901,,,,,121.511669,31.21916901,,,121.511669,31.21916901,121.50727,31.22685001,121.511669,31.21916901,,,121.50491,31.23735001,121.50491,31.23735001,,,,,121.50491,31.23735001,121.50491,31.23735001,121.50491,31.23735001,121.50491,31.23735001
6,20160301,33978a87d7acdb3e93362b457b5fc37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.30955,31.13828001,,,121.19282,30.95056001,,,,,,,,,,,,
7,20160301,8870c0ad6bf6c9f747b69223e8772f8c,,,,,,,,,,,,,,,,,121.42373,31.19784001,,,,,,,121.42108,31.19662001,121.42108,31.19662001,121.42108,31.19662001,,,121.42108,31.19662001,121.42093,31.19291001,121.38721,31.25379001,121.40809,31.30515001,121.42621,31.30608001,,,,,,
8,20160301,df7d32d93180caccda9b099338f339b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20160301,14f45d3b2595ec3892b40661d4617b4e,,,,,,,,,,,,,,,121.54638,31.22641001,,,121.5221,31.19392001,,,,,,,,,,,,,,,121.53917,31.22840001,,,,,,,,,,,,
