,IMEI,年龄,性别,大致消费水平,终端品牌,终端型号,月银行短信通知次数,使用汽车类APP的PV数,使用理财类APP的PV数,使用股票类APP的PV数,交往圈规模,是否有跨省行为,是否有出国行为,访问购物类网站的次数,访问IT类网站的次数,访问餐饮类网站的次数,访问房产类网站的次数,访问健康类网站的次数,访问金融类网站的次数,访问旅游类网站的次数,访问体育类网站的次数,访问汽车类网站的次数,访问时事类网站的次数,访问社会类网站的次数,访问文娱类网站的次数,访问招聘类网站的次数,访问教育类网站的次数,访问其他类网站的次数,访问网游类网站的次数
0,f0d507b3d91c443958e061dc9441bbf3,36,女,低,苹果,A1524,196,0,0,0,102,是,否,21,374.0,0.0,0.0,0.0,53.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0
1,a81aebca29eda5a40f1dfdbfb417148e,36,女,高,苹果,A1524,84,0,0,0,28,否,否,146,617.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,30.0
2,f0fb6dadfa13dea461fb9a6c8a79af19,36,男,中,联想,Lenovo A316,0,0,0,0,26,否,否,756,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2cb7211ead7fa3c28b706d99e648a065,17,不详,低,华为,MU509,0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,73d93c0ae7348ff9270afd5eb46f6481,17,女,低,苹果,A1586,0,0,0,0,2,否,否,10,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
5,95d3f452fcd8af1d02454a073b53c77a,29,女,中,华为,"HUAWEIE5730S-2,E5730S-2",0,0,0,0,0,否,否,291,561.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,70.0,13.0,0.0,0.0,286.0,0.0,26.0
6,c1f479a47c723eeb5268ba1ceee33027,37,不详,低,中兴,ZTEMG3732,0,0,0,0,9,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,b5e1d69ac64db6fa796b73e5aed056e3,37,女,高,苹果,A1332,0,0,0,0,36,否,否,2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,c5490ee376a2f4ab848d660be8ccc591,33,男,低,华为,HUAWEI G750-T00,0,0,0,0,1,否,否,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0
9,a3f71b33f0d747c250b21195843e88dc,17,不详,低,三星,GT-I9500,1090,0,0,0,59,否,否,34,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1fb9abf23b9a39688307ee50398656fb,24,男,低,苹果,A1586,82,0,0,0,15,否,否,47,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
11,13865ca1f9d022abdd390314465663b4,55,女,低,苹果,IPHONE4S(A1387),0,0,0,0,10,是,否,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
